"year","item_sa","value_us","tons","species"
2013,"16030000",245277.23,16.67145,"extracto de pescado, crustaceos moluscos"
2013,"16041110",261.27,0.00298,"salmon"
2013,"16041190",4393.77,0.35076,"salmon"
2013,"16041200",110677.7,15.42415,"arenques"
2013,"16041311",118.82,0.00189,"sardinas"
2013,"16041312",660301.21,236.82573,"sardinas"
2013,"16041319",1537488.16,486.4198,"sardinas"
2013,"16041390",34186.85,22.50132,"sardinelas y espadines"
2013,"16041410",79875061.8,14449.00233,"atunes"
2013,"16041420",646434.45,114.18288,"listados"
2013,"16041430",13333721.89,2393.93035,"bonitos"
2013,"16041500",243669.85,113.22,"caballas"
2013,"16041610",130588.64,7.22996,"anchoas"
2013,"16041690",279.53,0.0306,"anchoas"
2013,"16041700",107.59,0.0075,"anguilas"
2013,"16041911",16225521.44,8984.4712,"jurel"
2013,"16041912",59954.14,36.0431,"jurel"
2013,"16041913",156.43,0.00296,"jurel"
2013,"16041919",1279706,683.009,"jurel"
2013,"16041940",203002.98,48.472,"merluza"
2013,"16041990",619641.85,135.86952,"los demas pescados"
2013,"16042010",29802299.23,8023.77158,"atunes"
2013,"16042020",987309.73,326.4017,"bonitos"
2013,"16042040",644972.46,346.30107,"sardina y jurel"
2013,"16042050",141279.52,61.38743,"caballas"
2013,"16042060",68370.53,7.66214,"anchoas"
2013,"16042070",661672.2,210.929,"merluza"
2013,"16042090",1925854.64,820.68756,"los demas pescados"
2013,"16043100",34419.64,1.38125,NA
2013,"16043200",932.51,0.1104,NA
2013,"16051029",10057.32,0.13608,"los demas centollas y centollon"
2013,"16051090",169015.76,115.99544,"los demas cangrejos"
2013,"16052111",50975.83,3.73081,"camaron nailon"
2013,"16052112",11629325.45,1514.68916,"camaron ecuatoriano"
2013,"16052119",2000914.29,299.26031,"los demas camarones"
2013,"16052129",98.8,0.002,"los demas camarones"
2013,"16052159",2486.6,0.54432,"los demas decapodos Natantia"
2013,"16052912",4157471.18,581.0205,"camaron ecuatoriano"
2013,"16052919",507042.26,62.06283,"los demas camarones"
2013,"16054000",484,0.2724,"los demas crustaceos"
2013,"16055100",472.84,0.06109,"ostras"
2013,"16055210",1606.2,0.83436,"ostiones"
2013,"16055290",1267.17,0.09289,"las demas vieiras, volandeiras 
"
2013,"16055300",1544974.99,460.81005,"mejillones"
2013,"16055490",26700.28,3.01252,"las demas jibias
"
2013,"16055500",12851.98,0.4732,"pulpos"
2013,"16055611",80239.13,8.07544,"almejas"
2013,"16055619",67376.94,6.57206,"las demas almejas"
2013,"16055800",612.71,0.048,"caracoles excepto los de mar"
2013,"16055910",58111.9,6.9234,"machas"
2013,"16055939",1700.03,0.07507,"los demas caracoles"
2013,"16055950",47071.74,4.53967,"navajuelas"
2013,"16055960",76174.47,4.89477,"navajas de mar"
2013,"16055990",181557.1,37.37401,"los demas de los demas moluscos"
2013,"16056200",397.77,0.15023,"Erizos de mar"
2013,"16056900",160696.64,19.38799,"los demas invertebrados acuaticos"
2014,"16030000",244569.45,14.9319571,"extracto de pescado, crustaceos moluscos"
2014,"16041110",1091.99,0.001,"salmon"
2014,"16041190",841.64,0.0711,"salmon"
2014,"16041200",176694.93,23.5164,"arenques"
2014,"16041311",47.93,0.0017,"sardinas"
2014,"16041312",458540.79,196.69705,"sardinas"
2014,"16041319",1255980.39,389.42534,"sardinas"
2014,"16041410",78499527.27,16698.07874,"atunes"
2014,"16041420",1148567.55,220.42914,"listados"
2014,"16041430",7542461.95,1524.0269,"bonitos"
2014,"16041500",257567.58,113.58546,"caballas"
2014,"16041610",118551.83,6.58788,"anchoas"
2014,"16041690",70260.11,17.83356,"anchoas"
2014,"16041700",5.51,0.00165,"anguilas"
2014,"16041911",8729519.29,4989.44816,"jurel"
2014,"16041912",151189.75,85.92964,"jurel"
2014,"16041919",635462.57,355.94021,"jurel"
2014,"16041920",6049.96,0.3,"congrio"
2014,"16041940",608113.84,159.406,"merluza"
2014,"16041990",236099.08,76.982,"los demas pescados"
2014,"16042010",17162142.12,6171.0189,"atunes"
2014,"16042020",639323.51,310.082,"bonitos"
2014,"16042030",6966.94,0.55893,"salmon"
2014,"16042040",4009860.65,2259.4054,"sardina y jurel"
2014,"16042050",232756.06,132.09459,"caballas"
2014,"16042060",17044.14,1.26923,"anchoas"
2014,"16042070",690403.38,215.379,"merluza"
2014,"16042090",2200945.92,915.4015,"los demas pescados"
2014,"16043100",12310.41,0.01269,NA
2014,"16043200",17749.38,1.9354,NA
2014,"16051012",16623.58,2.91211,"jaibas"
2014,"16051090",55144.47,32.06918,"los demas cangrejos"
2014,"16052111",194610.81,12.32,"camaron nailon"
2014,"16052112",12431310.44,1428.8785,"camaron ecuatoriano"
2014,"16052119",3766491.85,513.07768,"los demas camarones"
2014,"16052159",5189.86,1.12946,"los demas decapodos Natantia"
2014,"16052912",6335664.57,747.44,"camaron ecuatoriano"
2014,"16052919",614719.99,69.88577,"los demas camarones"
2014,"16052929",523665.8,59.52,"los demas langostinos"
2014,"16052931",25661.06,2.34,"gambas"
2014,"16052990",12688.51,1.648,"los demas camarones, langostinos y natantia"
2014,"16054000",1078.01,0.82374,"los demas crustaceos"
2014,"16055100",282.21,0.05,"ostras"
2014,"16055210",2246.58,1.48231,"ostiones"
2014,"16055300",1400763.17,406.4522,"mejillones"
2014,"16055490",185252.87,31.25,"las demas jibias
"
2014,"16055611",23080.83,0.91011,"almejas"
2014,"16055612",31686,8.47,"almejas"
2014,"16055619",156340.98,30.0498,"las demas almejas"
2014,"16055800",434.8,0.01896,"caracoles excepto los de mar"
2014,"16055910",14669.78,2.09088,"machas"
2014,"16055939",1650.5,0.06,"los demas caracoles"
